recordId,Title,type of object,Category,Person / organisation - Role,Date / Period,Place,Association,Material /Technique,Accession number,Museum department,object_url
471666,Attic black-figure pottery amphora depicting a mythological scene,container > vessel > storage vessel > amphora,ceramics,The Burgon Group - artist,"570 BCE - 550 BCE - date of creation,Archaic Period (750 - 480 BCE) - date of creation","Unknown, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted and incised decoration, processed material > ceramic > pottery, painted, marked > [marking techniques] > incised, ",AN1920.107,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-471666
471710,Attic black-figure pottery amphora depicting a warrior scene,container > vessel > storage vessel > amphora > neck-amphora,ceramics, - ,"510 BCE - 500 BCE - date of creation,Archaic Period (750 - 480 BCE) - date of creation","Unknown, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted and incised decoration, processed material > ceramic > pottery, marked > [marking techniques] > incised, painted, ",AN1879.162,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-471710
387465,Attic red-figure pottery hydria depicting two women a laver,container > vessel > jar > water-jar > hydria,ceramics, - ,"430 BCE - 420 BCE - date of creation,Classical Period (Greece) (480 - 323 BCE) - date of creation","The Greek World > Italy > Central and southern Campania > Nola, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted decoration, processed material > ceramic > pottery, painted, ",AN1879.171,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-387465
386738,Attic black-figure pottery stemmed cup,container > vessel > cup > drinking-cup > stemmed cup > kylix > siana cup,ceramics,The C Painter - artist,"565 BCE - date of creation,Archaic Period (750 - 480 BCE) - date of creation","Unknown, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted and incised decoration, processed material > ceramic > pottery, marked > [marking techniques] > incised, painted, ",AN1965.120,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-386738
386791,Small Attic red-figure pottery amphora depicting a religious scene,container > vessel > storage vessel > amphora > neck-amphora,ceramics,The Berlin Painter - artist,"490 BCE - 480 BCE - date of creation,Classical Period (Greece) (480 - 323 BCE) - date of creation","Unknown, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted decoration, processed material > ceramic > pottery, painted, ",AN1924.3,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-386791
387723,Attic red-figure pottery cup depicting an athletics scene,container > vessel > cup > drinking-cup > skyphos,ceramics, - ,"440 BCE - 430 BCE - date of creation,Classical Period (Greece) (480 - 323 BCE) - date of creation","Europe > Italy > Tuscany > Province of Siena > Chiusi, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted decoration, processed material > ceramic > pottery, painted, ",AN1890.35.a,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-387723
460498,Attic red-figure pottery hydria depicting a domestic scene,container > vessel > jar > water-jar > hydria,ceramics, - ,"450 BCE - 440 BCE - date of creation,Classical Period (Greece) (480 - 323 BCE) - date of creation","Europe > Greece > Attica > Central Athens > Athens, Europe > Greece > Attica, The Greek World > Greece > Attica","find spot, find spot, place of creation","pottery, with painted decoration, processed material > ceramic > pottery, painted, ",AN1942.2,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-460498
386735,Attic black-figure pottery amphora depicting a mythological scene,container > vessel > storage vessel > amphora > type B belly-amphora,ceramics, - ,"550 BCE - 530 BCE - date of creation,Archaic Period (750 - 480 BCE) - date of creation","Unknown, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted and incised decoration, processed material > ceramic > pottery, marked > [marking techniques] > incised, painted, ",AN1918.64,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-386735
386758,Attic black-figure pottery Panathenaic amphora,container > vessel > storage vessel > amphora > panathenaic amphora,ceramics, - ,"540 BCE - 530 BCE - date of creation,Archaic Period (750 - 480 BCE) - date of creation,2nd half of the 6th century BCE (550 - 501 BCE) - date of creation","Unknown, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted and incised decoration, processed material > ceramic > pottery, , marked > [marking techniques] > incised, ",AN1965.117,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-386758
386771,Attic black-figure pottery stemmed cup depicting a symposiastic scene,container > vessel > cup > drinking-cup > stemmed cup > kylix > cup type A,ceramics," - ,The Andokides Potter - potter","530 BCE - 515 BCE - date of creation,Archaic Period (750 - 480 BCE) - date of creation","Unknown, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted and incised decoration, processed material > ceramic > pottery, marked > [marking techniques] > incised, painted, ",AN1974.344,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-386771
386779,Attic red-figure stemmed pottery cup depicting a mythological scene,container > vessel > cup > drinking-cup > stemmed cup > kylix > cup type B,ceramics, - ,"520 BCE - 510 BCE - date of creation,Archaic Period (750 - 480 BCE) - date of creation","Unknown, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted decoration, processed material > ceramic > pottery, painted, ",AN1927.4065,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-386779
387397,Attic black-figure pottery amphora,container > vessel > storage vessel > amphora > neck-amphora,ceramics,The Affecter - artist,"540 BCE - 525 BCE - date of creation,Archaic Period (750 - 480 BCE) - date of creation","Unknown, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted and incised decoration, processed material > ceramic > pottery, marked > [marking techniques] > incised, painted, ",AN1896-1908.G.268,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-387397
387460,Attic red-figure pottery stemmed cup depicting a scene of daily life,container > vessel > cup > drinking-cup > stemmed cup > kylix > cup type B,ceramics,The Antiphon Painter - artist,"490 BCE - 480 BCE - date of creation,Classical Period (Greece) (480 - 323 BCE) - date of creation","Europe > Italy > Umbria > Province of Terni > Orvieto, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted decoration, processed material > ceramic > pottery, painted, ",AN1896-1908.G.267,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-387460
387561,Attic black-figure pottery pelike depicting a scene of daily life,container > vessel > storage vessel > pelike,ceramics, - ,"500 BCE - date of creation,Archaic Period (750 - 480 BCE) - date of creation","Europe > Greece > South Aegean > Rhodes > Rhodes, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted and incised decoration, processed material > ceramic > pottery, marked > [marking techniques] > incised, painted, ",AN1896-1908.G.247,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-387561
460967,Attic red-figure pottery stamnos depicting a mythological scene,"container > vessel > storage vessel > stamnos, container > vessel > mixing vessel > stamnos",ceramics,The Berlin Painter - artist,"490 BCE - 480 BCE - date of creation,Classical Period (Greece) (480 - 323 BCE) - date of creation",", The Greek World > Greece > Attica",", place of creation","pottery, with painted decoration, processed material > ceramic > pottery, painted, ",AN1912.1165,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-460967
471291,Attic black-figure pottery jug depicting a festive scene,container > vessel > jug > wine-jug > oinochoe > trefoil-mouth oinochoe,ceramics,The Amasis Painter - artist,"535 BCE - 530 BCE - date of creation,Archaic Period (750 - 480 BCE) - date of creation","Unknown, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted and incised decoration, processed material > ceramic > pottery, marked > [marking techniques] > incised, painted, ",AN1965.122,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-471291
386787,Attic red-figure pottery pelike depicting a naked youth and an elderly male figure,container > vessel > storage vessel > pelike,ceramics, - ,"480 BCE - date of creation,Classical Period (Greece) (480 - 323 BCE) - date of creation","Europe > Italy > Sicily > Province of Caltanissetta > Gela, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted decoration, processed material > ceramic > pottery, , ",AN1890.29,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-386787
