object_id,title,description,date_created,artist_maker,materials_techniques,dimensions,department,acquisition,period,culture,provenance,references,location,url
69106,Neck-amphora: GR.7.1932,"Neck-amphora, (A) amazonomachy, animal friezes, (B) horsemen, animal friezes",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/69106
69560,Bell krater: GR.29.1952,"Bell-krater, banquet",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/69560
69318,Lekythos: GR.29.1937,"Lekythos, Athena pouring a libation attended by Nike",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/69318
67956,Kantharos: GR.98g.1906,"Kantharos, horses",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/67956
66794,Skyphos: GR.126.1892,"Skyphos, komasts",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/66794
65708,Oinochoe: GR.126.1864,"Oinochoe, satyr playing pipes",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/65708
69259,Alabastron: GR.1.1936,"Alabastron, Artemis with swans",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/69259
65630,Cup: GR.49.1864,"Cup, I, reveller",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/65630
69315,Pelike: GR.26.1937,"Pelike, (A) man pursuing a boy with lyre, (B) man and boy talking",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/69315
70806,Lekythos: GR.P.65,"Lekythos, Dionysos and donkeys",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/70806
70776,Lekythos: GR.P.33,"Lekythos, kneeling-figure",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/70776
70749,Alabastron: GR.P.10,"Alabastron, pigeons",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/70749
70747,Chous: GR.P.8,"Chous, child and chous",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/70747
70746,Chous: GR.P.7,"Chous, child and chous",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/70746
70745,Squat lekythos: GR.P.6,"Squat lekythos, fawn",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/70745
68991,Stamnos: GR.8.1928,"Stamnos, (A) young warrior leaving home, (B) draped man with staff",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/68991
