Object Number,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Constituent ID,Artist Prefix,Artist Display Name,Artist Alpha Sort,Artist ULAN URL,Artist Wikidata URL,Culture,Period,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,_year_start,_year_end,Object Name,Title,Link Resource,Object Wikidata URL,Tags,Tags AAT URL,Tags Wikidata URL,Type,Decoration type,Female figures,Male figures,Myth,Record in MANTO,object_1,object_2,MANTO_result_1,MANTO_result_2,MANTO_result_3,MANTO_result_4,MANTO_result_5,MANTO_result_6
17.230.7,,,,,,,,,,,,,,,,,,,,,,TEST,TEST,,,,,,,,,,,,,,https://manto.unh.edu/viewer.p/60/2800/object/6582-11327727,https://manto.unh.edu/viewer.p/60/2800/object/6582-11327726,,,,
2011.233,True,257807.0,154.0,Greek and Roman Art,2011.0,5340.0,Attributed to the,Painter of London B 343,Painter of London B 343,http://vocab.getty.edu/page/ulan/500111303,,"Greek, Attic",Archaic,late 6th century BCE,-6.0,-6.0,Terracotta,"H. 13 3/8""
W. with handles 13 1/2""","Gift of Patricia Stickney, 2011",-6.0,-6.0,Stamnos (jar),Terracotta stamnos (jar),http://www.metmuseum.org/art/collection/search/257807,https://www.wikidata.org/wiki/Q116286914,Soldiers|Shields|Dogs|Horses|Chariots,http://vocab.getty.edu/page/aat/300185678|http://vocab.getty.edu/page/aat/300036869|http://vocab.getty.edu/page/aat/300265714|http://vocab.getty.edu/page/aat/300250148|http://vocab.getty.edu/page/aat/300212699,https://www.wikidata.org/wiki/Q4991371|https://www.wikidata.org/wiki/Q131559|https://www.wikidata.org/wiki/Q144|https://www.wikidata.org/wiki/Q726|https://www.wikidata.org/wiki/Q203788,stamnos,,,,,,,,,,,,,
2014.249,True,623024.0,,Greek and Roman Art,2014.0,,,,,,,"Etruscan, Etrusco-Corinthian",Archaic,6th century BCE,-6.0,-6.0,Terracotta,H. 2 1/2 × W. 5 1/4 × D. 3 1/4 in. (6.4 × 13.3 × 8.3 cm),"Gift of Dean Boorman, in memory of Dr. Bashford Dean, 2014",-6.0,-6.0,Skyphos,Terracotta skyphos,http://www.metmuseum.org/art/collection/search/623024,,Men|Sphinx,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300375739,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q151480,skyphos,,,,,,,,,,,,,
06.1021.81,True,247248.0,,Greek and Roman Art,1906.0,4909.0,Attributed to the,Leagros Group,Leagros Group,http://vocab.getty.edu/page/ulan/500021673,https://www.wikidata.org/wiki/Q830436,"Greek, Attic",,,-7000.0,-30.0,Terracotta,12 1/2in. (31.8cm),"Rogers Fund, 1906",-7000.0,-30.0,Lekythos,Lekythos,http://www.metmuseum.org/art/collection/search/247248,,Women|Apollo|Dionysus|Hermes|Lyres,http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/ia/901000109|http://vocab.getty.edu/page/ia/901001029|http://vocab.getty.edu/page/ia/901000721|http://vocab.getty.edu/page/aat/300042114,https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q37340|https://www.wikidata.org/wiki/Q41680|https://www.wikidata.org/wiki/Q41484|https://www.wikidata.org/wiki/Q201129,lekythos,,,,,,,,,,,,,
X.21.6,True,256593.0,,Greek and Roman Art,,,,,,,,"Greek, South Italian, Apulian",,,-7000.0,-30.0,Terracotta,H. 9.53 cm. Diameter 8.9 cm.,Uncertain,-7000.0,-30.0,Skyphos,Terracotta skyphos (drinking cup),http://www.metmuseum.org/art/collection/search/256593,,Women,http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q467,skyphos,,,,,,,,,,,,,
53.11.5,True,254778.0,162.0,Greek and Roman Art,1953.0,,,,,,,"Greek, Sicilian, Centuripe",Hellenistic,3rd–2nd century BCE,-299.0,-100.0,Terracotta,H. 15 1/2 in. (39.4 cm),"Purchase, Joseph Pulitzer Bequest, 1953",-299.0,-100.0,"Vase, funerary, wedding scene",Terracotta vase,http://www.metmuseum.org/art/collection/search/254778,https://www.wikidata.org/wiki/Q116405182,Weddings|Women,http://vocab.getty.edu/page/aat/300069158|http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q49836|https://www.wikidata.org/wiki/Q467,unknown,,,,,,,,,,,,,
2001.731,True,257596.0,164.0,Greek and Roman Art,2001.0,,,,,,,"Greek, South Italian, Campanian, Calenian",Hellenistic,late 3rd–early 2nd century BCE,-300.0,-100.0,Terracotta,H. 2 15/16 in. (7.5 cm); diameter  6 3/8 in. (16.2 cm),"The Bothmer Purchase Fund, 2001",-300.0,-100.0,"Bowl, deep",Terracotta deep bowl,http://www.metmuseum.org/art/collection/search/257596,https://www.wikidata.org/wiki/Q116287721,Dionysus,http://vocab.getty.edu/page/ia/901001029,https://www.wikidata.org/wiki/Q41680,unknown,,,,,,,,,,,,,
41.162.105,True,254277.0,171.0,Greek and Roman Art,1941.0,,,,,,,"Greek, South Italian, Campanian, Calenian",Late Classical,late 4th–3rd century BCE,-330.0,-200.0,Terracotta,H. 1 15/16 in. (5 cm); diameter  4 7/16 in. (11.3 cm); width with handles  6 11/16 in. (17 cm),"Rogers Fund, 1941",-330.0,-200.0,Kylix,Terracotta stemless kylix (drinking cup),http://www.metmuseum.org/art/collection/search/254277,https://www.wikidata.org/wiki/Q116288528,Heads,http://vocab.getty.edu/page/aat/300375054,https://www.wikidata.org/wiki/Q3409626,kylix,,,,,,,,,,,,,
06.1021.276,True,247442.0,171.0,Greek and Roman Art,1906.0,,,,,,,"Greek, South Italian, Campanian, Calenian",Hellenistic,3rd century BCE,-299.0,-200.0,Terracotta,diameter  2 7/8in. (7.3cm),"Rogers Fund, 1906",-299.0,-200.0,"Phiale, fragmentary",Terracotta tondo from a phiale (libation bowl),http://www.metmuseum.org/art/collection/search/247442,https://www.wikidata.org/wiki/Q116290466,Gorgons,http://vocab.getty.edu/page/aat/300305364,https://www.wikidata.org/wiki/Q102059,unknown,,,,,,,,,,,,,
06.1021.277,True,247443.0,161.0,Greek and Roman Art,1906.0,,,,,,,"Greek, South Italian, Campanian, Calenian",Hellenistic,late 4th–3rd century BCE,-330.0,-200.0,Terracotta,Overall: 2 7/8 x 7 3/4 in. (7.3 x 19.7 cm),"Rogers Fund, 1906",-330.0,-200.0,"Kylix, stemless",Terracotta stemless kylix (drinking cup),http://www.metmuseum.org/art/collection/search/247443,https://www.wikidata.org/wiki/Q116290076,,,,kylix,,,,,,,,,,,,,
06.1021.275,True,247441.0,171.0,Greek and Roman Art,1906.0,,,,,,,"Greek, South Italian, Campanian, Calenian",Hellenistic,late 4th–3rd century BCE,-325.0,-200.0,Terracotta,diameter  3 7/8in. (9.8cm),"Rogers Fund, 1906",-325.0,-200.0,"Phiale, fragmentary",Terracotta tondo from a phiale (libation bowl),http://www.metmuseum.org/art/collection/search/247441,https://www.wikidata.org/wiki/Q116290472,Herakles,http://vocab.getty.edu/page/ia/901000042,https://www.wikidata.org/wiki/Q122248,unknown,,,,,,,,,,,,,
90.9.9,True,245546.0,171.0,Greek and Roman Art,1890.0,,,,,,,"Greek, Ptolemaic, Cretan",Hellenistic,late 3rd century BCE,-225.0,-200.0,Terracotta,"h. 15 1/4 in. (38.7 cm); d. 9 13/16 in. (25 cm.)
","Purchase, 1890",-225.0,-200.0,"Hydria, Hadra",Terracotta Hadra hydria (water jar),http://www.metmuseum.org/art/collection/search/245546,https://www.wikidata.org/wiki/Q116290016,Human Figures|Animals|Urns,http://vocab.getty.edu/page/aat/300404114|http://vocab.getty.edu/page/aat/300249525|http://vocab.getty.edu/page/aat/300129425,https://www.wikidata.org/wiki/Q5937779|https://www.wikidata.org/wiki/Q729|https://www.wikidata.org/wiki/Q11083119,hydria,,,,,,,,,,,,,
06.1021.278,True,247444.0,161.0,Greek and Roman Art,1906.0,,,,,,,"Greek, South Italian, Campanian, Calenian",Hellenistic,late 4th–3rd century BCE,-330.0,-200.0,Terracotta,H.: 2 x 4 7/8 in. (5.1 x 12.4 cm),"Rogers Fund, 1906",-330.0,-200.0,"Kylix, stemless",Terracotta stemless kylix (drinking cup),http://www.metmuseum.org/art/collection/search/247444,https://www.wikidata.org/wiki/Q116290061,Men,http://vocab.getty.edu/page/aat/300025928,https://www.wikidata.org/wiki/Q8441,kylix,,,,,,,,,,,,,
90.9.44,True,245571.0,,Greek and Roman Art,1890.0,,,,,,,"Greek, Egypt, Alexandria-Hadra",Hellenistic,3rd century BCE,-299.0,-200.0,Terracotta,Overall: 17 5/8 x 12 3/8 in. (44.8 x 31.4 cm),"Purchase, 1890",-299.0,-200.0,"Hydria, Hadra",Terracotta Hadra hydria (water jar),http://www.metmuseum.org/art/collection/search/245571,,Pegasus,http://vocab.getty.edu/page/ia/901000756,https://www.wikidata.org/wiki/Q162797,hydria,,,,,,,,,,,,,
24.97.120,True,251547.0,163.0,Greek and Roman Art,1924.0,,,,,,,"Greek, Sicilian, Centuripe",Hellenistic,3rd century BCE,-299.0,-200.0,Terracotta,H. 7 1/16 in. (17.9 cm),"Fletcher Fund, 1924",-299.0,-200.0,Lebes gamikos and lid,Terracotta lebes gamikos (jar associated with weddings) with lid,http://www.metmuseum.org/art/collection/search/251547,https://www.wikidata.org/wiki/Q116287760,Women,http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q467,lebes gamikos,,,,,,,,,,,,,
41.162.107,True,254279.0,171.0,Greek and Roman Art,1941.0,,,,,,,"Greek, South Italian, Campanian, Calenian",Late Classical,late 4th–3rd century BCE,-330.0,-200.0,Terracotta,H. 1 15/16 in. (5 cm); diameter  4 13/16 in. (12.3 cm); width with handles  7 1/8 in. (18.1 cm),"Rogers Fund, 1941",-330.0,-200.0,Kylix,Terracotta stemless kylix (drinking cup),http://www.metmuseum.org/art/collection/search/254279,https://www.wikidata.org/wiki/Q116288494,Women,http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q467,kylix,,,,,,,,,,,,,
"06.1021.253a, b",True,247418.0,162.0,Greek and Roman Art,1906.0,,,,,,,"Greek, South Italian, Apulian, Canosan",Early Hellenistic,late 4th–early 3rd century BCE,-330.0,-275.0,Terracotta,"H. 5 1/2 in. (14 cm)
diameter  10 1/2 in. (26.7 cm)","Rogers Fund, 1906",-330.0,-275.0,Pyxis,Terracotta pyxis (box),http://www.metmuseum.org/art/collection/search/247418,https://www.wikidata.org/wiki/Q116402356,Eros,http://vocab.getty.edu/page/ia/901000613,https://www.wikidata.org/wiki/Q121973,pyxis,,,,,,,,,,,,,
03.03.2003,True,246980.0,171.0,Greek and Roman Art,1903.0,4899.0,Attributed to the,Patera-Ganymede Workshop,Patera-Ganymede Workshop,,,"Greek, South Italian, Apulian",Late Classical,ca. 350–300 BCE,-350.0,-300.0,Terracotta,H. 6 1/2 in. (16.5 cm),"Rogers Fund, 1903",-350.0,-300.0,Rhyton in the form of a sheep's head,Terracotta rhyton (vase for libations or drinking),http://www.metmuseum.org/art/collection/search/246980,https://www.wikidata.org/wiki/Q116297074,Eros|Sheep,http://vocab.getty.edu/page/ia/901000613|http://vocab.getty.edu/page/aat/300250284,https://www.wikidata.org/wiki/Q121973|https://www.wikidata.org/wiki/Q7368,rhyton,,,,,,,,,,,,,
03.03.2002,True,246979.0,171.0,Greek and Roman Art,1903.0,4899.0,Attributed to the,Patera-Ganymede Workshop,Patera-Ganymede Workshop,,,"Greek, South Italian, Apulian",Late Classical,ca. 350–300 BCE,-350.0,-300.0,Terracotta,H. 8 1/4 in. (21 cm),"Rogers Fund, 1903",-350.0,-300.0,Rhyton in the form of a deer's head,Terracotta rhyton (vase for libations or drinking),http://www.metmuseum.org/art/collection/search/246979,https://www.wikidata.org/wiki/Q116297083,Eros|Deer,http://vocab.getty.edu/page/ia/901000613|http://vocab.getty.edu/page/aat/300250308,https://www.wikidata.org/wiki/Q121973|https://www.wikidata.org/wiki/Q685795,rhyton,,,,,,,,,,,,,
06.1021.195,True,247358.0,159.0,Greek and Roman Art,1906.0,4904.0,Attributed to the,Amazon Painter,Amazon Painter,http://vocab.getty.edu/page/ulan/500072000,https://www.wikidata.org/wiki/Q86919839,"Greek, Attic",Classical,2nd half of the 4th century BCE,-350.0,-300.0,Terracotta,H. 17 in. (43.2 cm),"Rogers Fund, 1906",-350.0,-300.0,Pelike,Terracotta pelike (wine jar),http://www.metmuseum.org/art/collection/search/247358,https://www.wikidata.org/wiki/Q116293089,Men|Maenads|Satyrs|Amazons|Horses,http://vocab.getty.edu/page/aat/300025928| |http://vocab.getty.edu/page/aat/300379732|http://vocab.getty.edu/page/ia/901000212|http://vocab.getty.edu/page/aat/300250148,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q209599|https://www.wikidata.org/wiki/Q163709|https://www.wikidata.org/wiki/Q134154|https://www.wikidata.org/wiki/Q726,pelike,,,,,,,,,,,,,
06.1021.220,True,247383.0,161.0,Greek and Roman Art,1906.0,4905.0,Associated with the,Stuttgart Group,Stuttgart Group,http://vocab.getty.edu/page/ulan/500080648,,"Greek, South Italian, Apulian",Hellenistic,ca. 325–300 BCE,-325.0,-300.0,Terracotta,H. 12 in. (30.5 cm),"Rogers Fund, 1906",-325.0,-300.0,Thymiaterion,Terracotta thymiaterion (incense burner),http://www.metmuseum.org/art/collection/search/247383,https://www.wikidata.org/wiki/Q116291758,Heads|Women|Eros|Incense Burners,http://vocab.getty.edu/page/aat/300375054|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/ia/901000613|http://vocab.getty.edu/page/aat/300198817,https://www.wikidata.org/wiki/Q3409626|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q121973|https://www.wikidata.org/wiki/Q1264081,unknown,,,,,,,,,,,,,
06.1021.211,True,247374.0,161.0,Greek and Roman Art,1906.0,4905.0,Attributed to the,Stuttgart Group,Stuttgart Group,http://vocab.getty.edu/page/ulan/500080648,,"Greek, South Italian, Apulian",Hellenistic,ca. 325–300 BCE,-325.0,-300.0,Terracotta,H. with handle 16 3/4 in. (42.6 cm),"Rogers Fund, 1906",-325.0,-300.0,Oinochoe,Terracotta oinochoe (jug),http://www.metmuseum.org/art/collection/search/247374,https://www.wikidata.org/wiki/Q116292533,Eros|Nike|Horses|Chariots,http://vocab.getty.edu/page/ia/901000613|http://vocab.getty.edu/page/ia/901000070|http://vocab.getty.edu/page/aat/300250148|http://vocab.getty.edu/page/aat/300212699,https://www.wikidata.org/wiki/Q121973|https://www.wikidata.org/wiki/Q165023|https://www.wikidata.org/wiki/Q726|https://www.wikidata.org/wiki/Q203788,unknown,,,,,,,,,,,,,
06.1021.210,True,247373.0,171.0,Greek and Roman Art,1906.0,,,,,,,"Greek, South Italian, Apulian",Late Classical,ca. 350–300 BCE,-350.0,-300.0,Terracotta,H. 3.8 cm. Diameter 16.5 cm.,"Rogers Fund, 1906",-350.0,-300.0,Plate,Terracotta plate,http://www.metmuseum.org/art/collection/search/247373,https://www.wikidata.org/wiki/Q116292562,Women,http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q467,unknown,,,,,,,,,,,,,
06.1021.233,True,247396.0,171.0,Greek and Roman Art,1906.0,4906.0,Attributed to the,Painter of Bari 5981,Painter of Bari 5981,http://vocab.getty.edu/page/ulan/500058194,,"Greek, South Italian, Apulian",Late Classical,ca. 325–300 BCE,-325.0,-300.0,Terracotta,H. with handles 11 in. (27.9 cm),"Rogers Fund, 1906",-325.0,-300.0,Kantharos,Terracotta kantharos (drinking cup with high handles),http://www.metmuseum.org/art/collection/search/247396,https://www.wikidata.org/wiki/Q116291437,Heads|Women,http://vocab.getty.edu/page/aat/300375054|http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q3409626|https://www.wikidata.org/wiki/Q467,kantharos,,,,,,,,,,,,,
06.1021.209,True,247372.0,161.0,Greek and Roman Art,1906.0,4905.0,Attributed to the,Stuttgart Group,Stuttgart Group,http://vocab.getty.edu/page/ulan/500080648,,"Greek, South Italian, Apulian",Hellenistic,ca. 325–300 BCE,-325.0,-300.0,Terracotta,H. 17 in. (43.2 cm),"Rogers Fund, 1906",-325.0,-300.0,Oinochoe,Terracotta oinochoe (jug),http://www.metmuseum.org/art/collection/search/247372,https://www.wikidata.org/wiki/Q116292571,Eros|Nike|Horses|Chariots,http://vocab.getty.edu/page/ia/901000613|http://vocab.getty.edu/page/ia/901000070|http://vocab.getty.edu/page/aat/300250148|http://vocab.getty.edu/page/aat/300212699,https://www.wikidata.org/wiki/Q121973|https://www.wikidata.org/wiki/Q165023|https://www.wikidata.org/wiki/Q726|https://www.wikidata.org/wiki/Q203788,unknown,,,,,,,,,,,,,
06.1021.260,True,247425.0,171.0,Greek and Roman Art,1906.0,,,,,,,"Greek, South Italian, Apulian",Late Classical,ca. 350–300 BCE,-350.0,-300.0,Terracotta,7 3/8in. (18.7cm),"Rogers Fund, 1906",-350.0,-300.0,Rhyton in the form of a dog's head,Terracotta rhyton in the shape of a dog’s head,http://www.metmuseum.org/art/collection/search/247425,https://www.wikidata.org/wiki/Q116290557,Fans|Eros|Dogs|Mirrors,http://vocab.getty.edu/page/aat/300258857|http://vocab.getty.edu/page/ia/901000613|http://vocab.getty.edu/page/aat/300265714|http://vocab.getty.edu/page/aat/300037682,https://www.wikidata.org/wiki/Q193220|https://www.wikidata.org/wiki/Q121973|https://www.wikidata.org/wiki/Q144|https://www.wikidata.org/wiki/Q35197,rhyton,,,,,,,,,,,,,
06.1021.223,True,247386.0,161.0,Greek and Roman Art,1906.0,5243.0,Attributed to the,Pagenstecher Class,Pagenstecher Class,,,"Greek, South Italian, probably Paestan",Late Classical,mid-4th century BCE,-370.0,-300.0,Terracotta,H. 18 1/8 in. (46 cm),"Rogers Fund, 1906",-370.0,-300.0,Lekythos,Terracotta lekythos (oil flask),http://www.metmuseum.org/art/collection/search/247386,https://www.wikidata.org/wiki/Q116291739,Aphrodite|Athena|Eros|Hermes,http://vocab.getty.edu/page/ia/901000612|http://vocab.getty.edu/page/ia/901000069|http://vocab.getty.edu/page/ia/901000613|http://vocab.getty.edu/page/ia/901000721,https://www.wikidata.org/wiki/Q35500|https://www.wikidata.org/wiki/Q37122|https://www.wikidata.org/wiki/Q121973|https://www.wikidata.org/wiki/Q41484,lekythos,,,,,,,,,,,,,
06.1021.224,True,247387.0,161.0,Greek and Roman Art,1906.0,4905.0,Close in style to the,Baltimore Painter,Baltimore Painter,http://vocab.getty.edu/page/ulan/500007727,https://www.wikidata.org/wiki/Q725545,"Greek, South Italian, Apulian",Hellenistic,ca. 325–300 BCE,-325.0,-300.0,Terracotta,"H. 4 3/4 in. (12.1 cm)
diameter  13 5/8 in. (34.6 cm)","Rogers Fund, 1906",-325.0,-300.0,Lekane,Terracotta lekanis (dish),http://www.metmuseum.org/art/collection/search/247387,https://www.wikidata.org/wiki/Q116291711,Women|Heads,http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300375054,https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q3409626,lekanis,,,,,,,,,,,,,
96.18.58,True,246576.0,171.0,Greek and Roman Art,1896.0,4947.0,Compared to the,Mignot Painter,Mignot Painter,http://vocab.getty.edu/page/ulan/500071972,,"Greek, South Italian, Apulian",Hellenistic,ca. 300 BCE,-300.0,-300.0,Terracotta,H. 9 1/8 in. (23.2 cm),"Purchase by subscription, 1896",-300.0,-300.0,Askos,Terracotta askos (flask with a handle over the top),http://www.metmuseum.org/art/collection/search/246576,https://www.wikidata.org/wiki/Q116290244,Nike|Dogs|Rabbits,http://vocab.getty.edu/page/ia/901000070|http://vocab.getty.edu/page/aat/300265714|http://vocab.getty.edu/page/aat/300250218,https://www.wikidata.org/wiki/Q165023|https://www.wikidata.org/wiki/Q144|https://www.wikidata.org/wiki/Q9394,askos,,,,,,,,,,,,,
06.1021.273b,True,247439.0,171.0,Greek and Roman Art,1906.0,,,,,,,"Greek, South Italian, Campanian",Late Classical,4th century BCE,-399.0,-300.0,Terracotta,Diam.: 2 9/16 in. (6.5 cm),"Rogers Fund, 1906",-399.0,-300.0,Tondo from a bowl,Terracotta tondo from a bowl,http://www.metmuseum.org/art/collection/search/247439,https://www.wikidata.org/wiki/Q116290483,Crabs|Frogs,http://vocab.getty.edu/page/aat/300249722|http://vocab.getty.edu/page/aat/300250018,https://www.wikidata.org/wiki/Q16033394|https://www.wikidata.org/wiki/Q3116510,unknown,,,,,,,,,,,,,
06.1021.238,True,247401.0,161.0,Greek and Roman Art,1906.0,5244.0,Attributed to the,APZ Painter,APZ Painter,http://vocab.getty.edu/page/ulan/500110807,https://www.wikidata.org/wiki/Q28949654,"Greek, South Italian, Campanian",Hellenistic,ca. 330–300 BCE,-330.0,-300.0,Terracotta,H. 12 3/4 in. (32.4 cm),"Rogers Fund, 1906",-330.0,-300.0,Skyphos,Terracotta skyphos (deep drinking cup),http://www.metmuseum.org/art/collection/search/247401,https://www.wikidata.org/wiki/Q116290442,Women|Male Nudes,http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q40446,skyphos,,,,,,,,,,,,,
06.1021.240,True,247403.0,161.0,Greek and Roman Art,1906.0,4906.0,Attributed to the,Ixion Painter,Ixion Painter,http://vocab.getty.edu/page/ulan/500020025,https://www.wikidata.org/wiki/Q4102409,"Greek, South Italian, Campanian",Hellenistic,ca. 330–310 BCE,-330.0,-300.0,Terracotta,H. 24 3/4 in. (62.9 cm),"Rogers Fund, 1906",-330.0,-300.0,Bail-amphora,Terracotta bail-amphora (jar),http://www.metmuseum.org/art/collection/search/247403,https://www.wikidata.org/wiki/Q116290433,Pegasus|Lions|Men,http://vocab.getty.edu/page/ia/901000756|http://vocab.getty.edu/page/aat/300310388|http://vocab.getty.edu/page/aat/300025928,https://www.wikidata.org/wiki/Q162797|https://www.wikidata.org/wiki/Q140|https://www.wikidata.org/wiki/Q8441,bail amphora,,,,,,,,,,,,,
06.1021.183,True,247346.0,158.0,Greek and Roman Art,1906.0,,,,,,,"Greek, Attic",Classical,4th century BCE,-399.0,-300.0,Terracotta,H.: 8 in. (20.3 cm),"Rogers Fund, 1906",-399.0,-300.0,Oinochoe,Terracotta oinochoe (jug),http://www.metmuseum.org/art/collection/search/247346,https://www.wikidata.org/wiki/Q116293493,Women|Dionysus|Men,http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/ia/901001029|http://vocab.getty.edu/page/aat/300025928,https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q41680|https://www.wikidata.org/wiki/Q8441,unknown,,,,,,,,,,,,,
06.1021.226,True,247389.0,,Greek and Roman Art,1906.0,4898.0,Attributed to near the,Painter of Vatican Y 5 and 6,Painter of Vatican Y 5 and 6,http://vocab.getty.edu/page/ulan/500077383,,"Greek, South Italian, Apulian",Late Classical,ca. 325–300 BCE,-325.0,-300.0,Terracotta,"Height: 9 15/16 in. (25.2 cm)
Diameter: 3 7/8 × 2 in. (9.8 × 5.2 cm)","Rogers Fund, 1906",-325.0,-300.0,Oinochoe,Oinochoe,http://www.metmuseum.org/art/collection/search/247389,,Women,http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q467,unknown,,,,,,,,,,,,,
06.1021.227,True,247390.0,162.0,Greek and Roman Art,1906.0,5244.0,Attributed to the,APZ Painter,APZ Painter,http://vocab.getty.edu/page/ulan/500110807,https://www.wikidata.org/wiki/Q28949654,"Greek, South Italian, Campanian",Late Classical,ca. 330–300 BCE,-330.0,-300.0,Terracotta,H. 27 1/2 in. (69.9 cm),"Rogers Fund, 1906",-330.0,-300.0,Hydria,Terracotta hydria (water jar),http://www.metmuseum.org/art/collection/search/247390,https://www.wikidata.org/wiki/Q116291710,Women,http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q467,hydria,,,,,,,,,,,,,
06.1021.229,True,247392.0,171.0,Greek and Roman Art,1906.0,4906.0,Attributed to the,Kantharos Group,Kantharos Group,http://vocab.getty.edu/page/ulan/500032497,https://www.wikidata.org/wiki/Q53673337,"Greek, South Italian, Apulian",Late Classical,ca. 325–300 BCE,-325.0,-300.0,Terracotta,H. 2.8 cm. Diameter 12.07 cm.,"Rogers Fund, 1906",-325.0,-300.0,Plate,Terracotta plate,http://www.metmuseum.org/art/collection/search/247392,https://www.wikidata.org/wiki/Q116291482,Heads|Women,http://vocab.getty.edu/page/aat/300375054|http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q3409626|https://www.wikidata.org/wiki/Q467,kantharos,,,,,,,,,,,,,
76.12.15,True,244866.0,,Greek and Roman Art,1876.0,,,,,,,"Greek, South Italian, Apulian",Late Classical,ca. 325–300 BCE,-325.0,-300.0,Terracotta,7 1/2in. (19.1cm),"Gift of L. P. di Cesnola, 1876",-325.0,-300.0,Skyphos,Skyphos,http://www.metmuseum.org/art/collection/search/244866,,Heads|Women,http://vocab.getty.edu/page/aat/300375054|http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q3409626|https://www.wikidata.org/wiki/Q467,skyphos,,,,,,,,,,,,,
76.12.8,True,244859.0,161.0,Greek and Roman Art,1876.0,,,,,,,"Greek, South Italian, Gnathian",Hellenistic,ca. 325–300 BCE,-325.0,-300.0,Terracotta,H.: 9 5/16 in. (23.7 cm),"Gift of L. P. di Cesnola, 1876",-325.0,-300.0,Oinochoe,Terracotta oinochoe (jug),http://www.metmuseum.org/art/collection/search/244859,https://www.wikidata.org/wiki/Q116288776,Masks,http://vocab.getty.edu/page/aat/300262834,https://www.wikidata.org/wiki/Q161524,unknown,,,,,,,,,,,,,
96.9.21,True,246123.0,171.0,Greek and Roman Art,1896.0,,,,,,,"Greek, South Italian, Apulian",Late Classical,4th century BCE,-399.0,-300.0,Terracotta,H. 4 7/8 in. (12.4 cm),"Purchase, 1896",-399.0,-300.0,Lekythos,Terracotta lekythos (oil flask) with an owl,http://www.metmuseum.org/art/collection/search/246123,https://www.wikidata.org/wiki/Q116296534,Owls,http://vocab.getty.edu/page/aat/300310290,https://www.wikidata.org/wiki/Q8021345,lekythos,,,,,,,,,,,,,
76.12.16,True,244867.0,,Greek and Roman Art,1876.0,,,,,,,"Greek, South Italian, Apulian",Late Classical,ca. 325–300 BCE,-325.0,-300.0,Terracotta,H. 3 3/4 in. (9.5 cm),"Gift of L. P. di Cesnola, 1876",-325.0,-300.0,Skyphos,Skyphos,http://www.metmuseum.org/art/collection/search/244867,,,,,skyphos,,,,,,,,,,,,,
12.232.7,True,248705.0,161.0,Greek and Roman Art,1912.0,,,,,,,"Greek, South Italian, Campanian",Hellenistic,late 4th century BCE,-330.0,-300.0,Terracotta,"H. 2 11/16 in. (6.8 cm)
diameter  3 3/4 in. (9.5 cm)","Rogers Fund, 1912",-330.0,-300.0,Guttus,Terracotta guttus (flask with handle and vertical spout),http://www.metmuseum.org/art/collection/search/248705,https://www.wikidata.org/wiki/Q116296963,Masks,http://vocab.getty.edu/page/aat/300262834,https://www.wikidata.org/wiki/Q161524,unknown,,,,,,,,,,,,,
41.162.225,True,254396.0,171.0,Greek and Roman Art,1941.0,,,,,,,"Greek, South Italian, Apulian",Late Classical or Hellenistic,4th century BCE,-399.0,-300.0,Terracotta,H. 3 1/4 in. (8.3 cm),"Rogers Fund, 1941",-399.0,-300.0,Lekythos,Terracotta lekythos (oil flask) with a bird,http://www.metmuseum.org/art/collection/search/254396,https://www.wikidata.org/wiki/Q116287958,Birds,http://vocab.getty.edu/page/aat/300266506,https://www.wikidata.org/wiki/Q5113,lekythos,,,,,,,,,,,,,
