Object Number,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Constituent ID,Artist Prefix,Artist Display Name,Artist Alpha Sort,Artist ULAN URL,Artist Wikidata URL,Culture,Period,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,_year_start,_year_end,Object Name,Title,Link Resource,Object Wikidata URL,Tags,Tags AAT URL,Tags Wikidata URL,Type,Decoration type,Female figures,Male figures,Myth,Record in MANTO,object_1,object_2,MANTO_result_1,MANTO_result_2,MANTO_result_3,MANTO_result_4,MANTO_result_5,MANTO_result_6
16.174.41,True,249152.0,154.0,Greek and Roman Art,1916.0,4917.0,Attributed to the,Colmar Painter,Colmar Painter,http://vocab.getty.edu/page/ulan/500097485,https://www.wikidata.org/wiki/Q18508104,"Greek, Attic",Archaic,ca. 500 BCE,-500.0,-500.0,Terracotta,"H. 3 5/8 in. (9.2 cm)
diameter  9 1/4 in. (23.5 cm)","Rogers Fund, 1916",-500.0,-500.0,Kylix,Terracotta kylix (drinking cup),http://www.metmuseum.org/art/collection/search/249152,https://www.wikidata.org/wiki/Q116402513,,,,kylix,,,,,,,,,,,,,
41.162.34,True,254201.0,154.0,Greek and Roman Art,1941.0,4902.0,Attributed to the,Sappho Painter,Sappho Painter,http://vocab.getty.edu/page/ulan/500019329,https://www.wikidata.org/wiki/Q1354018,"Greek, Attic",Archaic,ca. 500 BCE,-500.0,-500.0,Terracotta,H. 16 13/16 in. (42.7 cm); diameter 2 13/16 in. (7.2 cm),"Rogers Fund, 1941",-500.0,-500.0,Lekythos,Terracotta lekythos (oil flask),http://www.metmuseum.org/art/collection/search/254201,https://www.wikidata.org/wiki/Q116289097,Hermes|Horses|Chariots,http://vocab.getty.edu/page/ia/901000721|http://vocab.getty.edu/page/aat/300250148|http://vocab.getty.edu/page/aat/300212699,https://www.wikidata.org/wiki/Q41484|https://www.wikidata.org/wiki/Q726|https://www.wikidata.org/wiki/Q203788,lekythos,,,,,,,,,,,,,
41.162.35,True,254202.0,154.0,Greek and Roman Art,1941.0,4902.0,Attributed to the,Sappho Painter,Sappho Painter,http://vocab.getty.edu/page/ulan/500019329,https://www.wikidata.org/wiki/Q1354018,"Greek, Attic",Archaic,ca. 500 BCE,-500.0,-500.0,Terracotta,H. 6 13/16 in. (17.3 cm); diameter 2 13/16 in. (7.2 cm),"Rogers Fund, 1941",-500.0,-500.0,Lekythos,Terracotta lekythos (oil flask),http://www.metmuseum.org/art/collection/search/254202,https://www.wikidata.org/wiki/Q116288595,Athena|Horses|Chariots,http://vocab.getty.edu/page/ia/901000069|http://vocab.getty.edu/page/aat/300250148|http://vocab.getty.edu/page/aat/300212699,https://www.wikidata.org/wiki/Q37122|https://www.wikidata.org/wiki/Q726|https://www.wikidata.org/wiki/Q203788,lekythos,,,,,,,,,,,,,
57.11.1,True,254928.0,171.0,Greek and Roman Art,1957.0,,,,,,,"Greek, Boeotian",Archaic,6th century BCE,-599.0,-500.0,Terracotta,H. 6 in. (15.2 cm); diameter  4 3/8 in. (11.1 cm),"Rogers Fund, 1957",-599.0,-500.0,Siphon,Terracotta siphon,http://www.metmuseum.org/art/collection/search/254928,https://www.wikidata.org/wiki/Q116289604,,,,unknown,,,,,,,,,,,,,
X.21.17,True,256600.0,,Greek and Roman Art,,4907.0,Attributed to the,Red-Line Painter,Red-Line Painter,http://vocab.getty.edu/page/ulan/500073607,https://www.wikidata.org/wiki/Q1459078,"Greek, Attic",Archaic,late 6th century BCE,-530.0,-500.0,Terracotta,"Diameter: 6 1/4 × 5 3/16 × 3 7/16 in. (15.9 × 13.2 × 8.7 cm)
Height: 9 5/8 in. (24.4 cm)",Museum Accession,-530.0,-500.0,Neck-amphora,Terracotta neck-amphora (jar),http://www.metmuseum.org/art/collection/search/256600,,Animals|Women,http://vocab.getty.edu/page/aat/300249525|http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q729|https://www.wikidata.org/wiki/Q467,neck amphora,,,,,,,,,,,,,
X.21.29,True,256609.0,,Greek and Roman Art,,4907.0,Attributed to the manner of the,Red-Line Painter,Red-Line Painter,http://vocab.getty.edu/page/ulan/500073607,https://www.wikidata.org/wiki/Q1459078,"Greek, Attic",Archaic,ca. 500 BCE,-500.0,-500.0,Terracotta,"Diameter: 6 3/8 × 4 11/16 × 3 1/2 in. (16.2 × 11.9 × 9 cm)
Height: 10 7/8 in. (27.6 cm)",Acquired before 1899,-500.0,-500.0,Neck-amphora,Neck-amphora,http://www.metmuseum.org/art/collection/search/256609,,Poseidon|Maenads|Satyrs,http://vocab.getty.edu/page/ia/901000198| |http://vocab.getty.edu/page/aat/300379732,https://www.wikidata.org/wiki/Q41127|https://www.wikidata.org/wiki/Q209599|https://www.wikidata.org/wiki/Q163709,neck amphora,,,,,,,,,,,,,
1993.11.5,True,256167.0,157.0,Greek and Roman Art,1993.0,4922.0,Attributed to the,Ashby Painter,Ashby Painter,http://vocab.getty.edu/page/ulan/500084782,,"Greek, Attic",Archaic,ca. 500 BCE,-500.0,-500.0,Terracotta,"Overall: 5 x 16 in. (12.7 x 40.6cm)
diameter  12 7/8in. (32.7cm)","Purchase, Amalia Lacroze de Fortabat Gift and The Bothmer Purchase Fund, 1993",-500.0,-500.0,"Kylix, type B",Terracotta kylix (drinking cup),http://www.metmuseum.org/art/collection/search/256167,https://www.wikidata.org/wiki/Q116288104,Flutes|Male Nudes|Men|Trumpets,http://vocab.getty.edu/page/aat/300042513|http://vocab.getty.edu/page/aat/300189568|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300042339,https://www.wikidata.org/wiki/Q11405|https://www.wikidata.org/wiki/Q40446|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q8338,kylix,,,,,,,,,,,,,
23.160.91,True,251424.0,157.0,Greek and Roman Art,1923.0,4930.0,Attributed to the,Poseidon Painter,Poseidon Painter,http://vocab.getty.edu/page/ulan/500093534,,"Greek, Attic",Archaic,ca. 510–500 BCE,-510.0,-500.0,Terracotta,"H. 2 15/16 in. (7.5 cm)
diameter  5 3/4 in. (14.6 cm)","Rogers Fund, 1923",-510.0,-500.0,"Kylix, fragmentary",Terracotta kylix (drinking cup),http://www.metmuseum.org/art/collection/search/251424,https://www.wikidata.org/wiki/Q116288050,Birds|Maenads,http://vocab.getty.edu/page/aat/300266506|,https://www.wikidata.org/wiki/Q5113|https://www.wikidata.org/wiki/Q209599,kylix,,,,,,,,,,,,,
23.160.17,True,251361.0,171.0,Greek and Roman Art,1923.0,4929.0,Attributed to the,Acheloös Painter,Acheloös Painter,(not assigned),https://www.wikidata.org/wiki/Q943594,"Greek, Attic",Archaic,ca. 520–510 BCE,-520.0,-500.0,Terracotta,H. 15 3/4 in. (40 cm),"Rogers Fund, 1923",-520.0,-500.0,"Amphora, Type B",Terracotta amphora (jar),http://www.metmuseum.org/art/collection/search/251361,https://www.wikidata.org/wiki/Q116288810,Men|Wreaths,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300391223,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q1201922,,,,,,,,,,,,,,
41.162.55,True,254222.0,,Greek and Roman Art,1941.0,,,,,,,"Greek, Attic",Archaic,ca. 500 BCE,-500.0,-500.0,Terracotta,"Overall: 13/16 in. (2.1 cm)
Other: 6 3/8in. (16.2cm)","Rogers Fund, 1941",-500.0,-500.0,Plate,Plate,http://www.metmuseum.org/art/collection/search/254222,,Herakles,http://vocab.getty.edu/page/ia/901000042,https://www.wikidata.org/wiki/Q122248,unknown,,,,,,,,,,,,,
41.162.129,True,254301.0,171.0,Greek and Roman Art,1941.0,4915.0,Attributed to the,Euergides Painter,Euergides Painter,http://vocab.getty.edu/page/ulan/500023417,https://www.wikidata.org/wiki/Q89520234,"Greek, Attic",Archaic,ca. 510 BCE,-510.0,-500.0,Terracotta,H. 4 15/16 in. (12.6 cm); diameter  13 1/16 in. (33.1 cm); width with handles  16 9/16 in. (42 cm),"Rogers Fund, 1941",-510.0,-500.0,Kylix,Terracotta kylix (drinking cup),http://www.metmuseum.org/art/collection/search/254301,https://www.wikidata.org/wiki/Q116288170,Animals|Men|Athletes,http://vocab.getty.edu/page/aat/300249525|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300236025,https://www.wikidata.org/wiki/Q729|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q2066131,kylix,,,,,,,,,,,,,
06.1021.49,True,247221.0,153.0,Greek and Roman Art,1906.0,4907.0,Attributed to the,Theseus Painter,Theseus Painter,http://vocab.getty.edu/page/ulan/500031574,https://www.wikidata.org/wiki/Q2420238,"Greek, Attic",Archaic,ca. 500 BCE,-500.0,-500.0,Terracotta,"H. 6 3/8 in. (16.2 cm)
diameter  8 7/8 in. (22.5 cm)","Rogers Fund, 1906",-500.0,-500.0,Skyphos,Terracotta skyphos (deep drinking cup),http://www.metmuseum.org/art/collection/search/247221,https://www.wikidata.org/wiki/Q116295298,Men|Athletes|Male Nudes,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300236025|http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q2066131|https://www.wikidata.org/wiki/Q40446,skyphos,,,,,,,,,,,,,
06.1021.52,True,247224.0,171.0,Greek and Roman Art,1906.0,,,,,,,"Greek, Attic",Archaic,last quarter of 6th century BCE,-525.0,-500.0,Terracotta,length  11 9/16in. (29.4cm),"Rogers Fund, 1906",-525.0,-500.0,Onos,Terracotta onos (leg guard used in carding wool),http://www.metmuseum.org/art/collection/search/247224,https://www.wikidata.org/wiki/Q116295297,Men|Horses|Chariots,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300250148|http://vocab.getty.edu/page/aat/300212699,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q726|https://www.wikidata.org/wiki/Q203788,unknown,,,,,,,,,,,,,
06.1021.60,True,247229.0,171.0,Greek and Roman Art,1906.0,5242.0,Attributed to a painter associated with the,Michigan Class,Michigan Class,,,"Greek, Attic",Archaic,late 6th century BCE,-525.0,-500.0,Terracotta,H. 9 5/16 in. (23.7 cm),"Rogers Fund, 1906",-525.0,-500.0,Lekythos,Terracotta lekythos (oil flask),http://www.metmuseum.org/art/collection/search/247229,https://www.wikidata.org/wiki/Q116295299,Male Nudes|Athletes,http://vocab.getty.edu/page/aat/300189568|http://vocab.getty.edu/page/aat/300236025,https://www.wikidata.org/wiki/Q40446|https://www.wikidata.org/wiki/Q2066131,lekythos,,,,,,,,,,,,,
06.1021.61,True,247230.0,,Greek and Roman Art,1906.0,4908.0,Related to the,Keyside Class,Keyside Class,http://vocab.getty.edu/page/ulan/500023254,,"Greek, Attic",Archaic,6th century BCE–late,-550.0,-500.0,Terracotta,"Other (with w/ handles): 6 in. (15.2 cm)
Diameter: 5 1/2 × 3 1/8 in. (14 × 8 cm)
Height: 8 1/2 in. (21.6 cm)","Rogers Fund, 1906",-550.0,-500.0,Oinochoe,Oinochoe,http://www.metmuseum.org/art/collection/search/247230,,Shields|Men|Battles,http://vocab.getty.edu/page/aat/300036869|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300185692,https://www.wikidata.org/wiki/Q131559|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q178561,unknown,,,,,,,,,,,,,
59.11.20,True,255014.0,171.0,Greek and Roman Art,1959.0,4928.0,Attributed to the,Karkinos Painter,Karkinos Painter,http://vocab.getty.edu/page/ulan/500070177,,"Greek, Attic",Archaic,ca. 500 BCE,-500.0,-500.0,Terracotta,H. with handle  22 5/16 in. (56.7 cm); H. without handle  20 1/16 in. (50.9 cm); diameter of lip  16 3/4 in. (42.6 cm); diameter of foot  8 13/16 in. (22.4 cm),"Rogers Fund, 1959",-500.0,-500.0,Volute-krater,Terracotta volute-krater (bowl for mixing wine and water),http://www.metmuseum.org/art/collection/search/255014,https://www.wikidata.org/wiki/Q116289075,Horses|Amazons|Theseus,http://vocab.getty.edu/page/aat/300250148|http://vocab.getty.edu/page/ia/901000212|http://vocab.getty.edu/page/ia/901001063,https://www.wikidata.org/wiki/Q726|https://www.wikidata.org/wiki/Q134154|https://www.wikidata.org/wiki/Q1320718,volute krater,,,,,,,,,,,,,
21.88.2,True,251030.0,154.0,Greek and Roman Art,1921.0,4894.0,Recalls the,Dikaios Painter,Dikaios Painter,http://vocab.getty.edu/page/ulan/500105892,https://www.wikidata.org/wiki/Q88909208,"Greek, Attic",Archaic,ca. 500 BCE,-500.0,-500.0,Terracotta,"H. 14 15/16 in. (38 cm)
diameter  15 5/8 in. (39.7 cm)","Rogers Fund, 1921",-500.0,-500.0,"Hydria, kalpis",Terracotta hydria: kalpis (water jar),http://www.metmuseum.org/art/collection/search/251030,https://www.wikidata.org/wiki/Q116402770,Flutes|Musicians|Shields|Spears|Men,http://vocab.getty.edu/page/aat/300042513|http://vocab.getty.edu/page/aat/300025666|http://vocab.getty.edu/page/aat/300036869|http://vocab.getty.edu/page/aat/300037038|http://vocab.getty.edu/page/aat/300025928,https://www.wikidata.org/wiki/Q11405|https://www.wikidata.org/wiki/Q639669|https://www.wikidata.org/wiki/Q131559|https://www.wikidata.org/wiki/Q44475|https://www.wikidata.org/wiki/Q8441,kalpis,,,,,,,,https://manto.unh.edu/viewer.p/60/2800/object/6582-11327648,,,,,
