url,title,museum_number
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38310,Aryballos,NM48.10
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38315,Paestan red figure bell krater by the Boston Orestes Painter.,NM48.6
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38317,Paestan bell krater,NM49.9
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38318,Paestan bell krater,NM49.10
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38435,Apulian red figure volute krater,NM54.7
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38441,Campanian oinochoe,NM46.2
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38590,'Chalcidian' ware black figure neck amphora,NM47.15
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38623,Gnathian ware oinochoe,NM54.6
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38624,Gnathian bottle,NM62.808
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38625,Etruscan beaked oinochoe,NM98.85
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38783,Attic skyphos,NM47.16
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38786,Attic lekythos,NM48.11
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38787,Attic lekythos,NM49.7
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38789,Attic black figure lekythos,NM56.38
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38790,Attic black figure oinochoe,NM98.167
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38798,Attic black figure skyphos,NM48.12
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38804,Attic red figure neck amphora,NM70.2
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38805,Attic white ground lekythos,NM41.2
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38806,Detailed Object Record,NM47.6
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38810,Attic white ground lekythos,NM53.27
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38811,Attic red figure bell krater,NM46.39
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38812,Attic bell krater,NM49.4
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38814,Attic red figure lebes gamikos,NM98.27
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38818,Attic red figure squat lekythos,NM98.26
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38830,Detailed Object Record,NM98.65
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38835,Apulian red figure squat lekythos,NM98.63
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38836,Apulian red figure squat lekythos,NM47.17
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38837,Apulian red figure squat lekythos,NM47.18
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.39102,Attic black figure Stemless Cup fragment,NM56.11
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.39750,Lucanian bell krater,NM42.1
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.39751,Lucanian bell krater,NM57.4
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.40319,Apulian red figure bell krater,NM98.43
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.40320,Apulian red figure pelike,NM98.46
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.40321,Apulian red figure bell krater,NM98.74
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.40322,Apulian red figure bell krater,NM98.44
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.40323,Apulian red figure oinochoe,NM98.62
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.40325,Campanian bell krater,NM51.20
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.40326,Campanian red figure bell krater,NM55.1
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.40328,Detailed Object Record,NM47.214
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.40329,Campanian calyx krater,NM52.61
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.40330,Campanian bell krater,NM51.18
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.40355,Apulian red figure squat lekythos,NM98.50
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.41094,Attic white ground lekythos,NM41.1
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.41096,Attic calyx krater,NM50.1
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.41168,Detailed Object Record,NM98.28
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.41171,Attic black figure olpe,NM98.150
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.41174,Attic red figure hydria,NM66.53
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.41175,Detailed Object Record,NM98.41
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.41178,Paestan bell krater,NM98.80
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.41256,Apulian red figure hydria,NM86.8
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.41439,Apulian red figure oinochoe,NM97.1
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.43683,Attic red figure pelike,NM97.65
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.48848,Apulian red figure oinochoe,NM97.186
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.55124,Attic black figure lekythos,NM2007.135
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.58359,Apulian red figure pyxis,NM98.49.1-3
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.81384,Lucanian bell krater,NM2011.4
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.82289,Apulian red figure stemmed dish,NM2012.1
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.82290,Detailed Object Record,NM2012.2
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.86599,Attic black-figure lekythos,NM2011.6
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.113806,Red figure chous,NM2015.1
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38809,Attic red figure alabastron,NM51.13
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38834,Detailed Object Record,NM54.4
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38076,Etruscan red figure bowl,NM68.47
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.33151,South Italian skyphos,NM53.31
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38802,Detailed Object Record,NM51.11
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.89904,Lucanian bell krater with phylax scene,NM2013.2
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.81459,Attic black figure neck amphora,NM2012.5
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.31330,Attic white ground lekythos,NM48.15
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.57940,Apulian red figure pyxis,NM51.45.1-2
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.41173,Attic lekythos,NM51.14
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.41345,Paestan calyx krater,NM49.1
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.41093,Attic red figure pelike,NM98.40
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.37323,Attic red figure miniature oinochoe,NM98.37
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.48847,Apulian red figure oinochoe,NM97.185
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38820,Lucanian bell krater,NM48.3
